time of sampling,date of sampling,MN's MAC Address,Temperature and Soil Moisture Readings
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
